"# of Use","# de uso"
"%1$s incl tax.","%1$ incluido impuesto."
"%s - %s","%s - %s"
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(copiar datos desde: %s)"
"(Will make search for the query above return results for this search.)","(Se buscará; en los resultados anteriores para que regrese resultados para esta búsqueda.)"
"* Required Fields","* Campos requeridos"
"-- Please Select --","-- Por favor, seleccione --"
"Add Root Category","Añadir categoria padre"
"Add New Row","Añadir nueva fila"
"Add New Option","Añadir nueva opción"
"Add Subcategory","Añadir subcategoria"
"Add Tax","Añadir Impuesto"
"Action","Acción"
"Zoom In","Acercar"
"Update","Actualizar"
"Update assigned product","Actualizar asignación de producto"
"Update Attributes","Actualizar atributos"
"Update attributes","Actualizar atributos"
"Update category","Actualizar categoría"
"Update product image","Actualizar imagen del producto"
"Update Tier Price","Actualizar nivel de precios"
"Update product tier prices","Actualizar precio del producto"
"Update product","Actualizar producto"
"Update product link","Actualizar vínculo del producto"
"Currently Shopping by","Actualmente está comprando por"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Add to Compare","Agregar a la lista de comparación"
"Add to My Wishlist","Agregar a mi lista de artículos de interés"
"Add to Cart","Agregar al carrito"
"Add Items to Cart","Agregar artículos al carrito"
"Add Product To Websites","Agregar el producto a los websites"
"Add New Images","Agregar nuevas imágenes"
"Add New","Agregar nuevo"
"Add Attribute","Agregar un atributo"
"Add Design Change","Agregar un cambio de diseño"
"Add Group","Agregar un grupo"
"Add New Attribute","Agregar un nuevo atributo"
"Add New Set","Agregar un nuevo conjunto"
"Add New Attribute Set","Agregar un nuevo conjunto de atributos"
"Add Tier","Agregar un nuevo escalón"
"Add New Group","Agregar un nuevo grupo"
"Add New Search Term","Agregar un nuevo término de búsqueda"
"Add Product","Agregar un producto"
"Add Option","Agregar una opción"
"Scope","Alcance"
"Catalog Price Scope","Alcance del precio del catálogo"
"Zoom Out","Alejar"
"Product Alerts","Alertas del producto"
"Maximum image height","Altura máxima de la imagen"
"AM","AM"
"Maximum image width","Ancho máximo de la imagen"
"Last Name","Apellido"
"Category attributes API","API atributos categoria"
"Product attributes API","API atributos del producto"
"Category API","API categoria"
"Product attribute sets API","API conjunto de atributos del producto"
"Product links API (related, cross sells, up sells)","API de los vínculos de los productos (relacionados, ventas cruzadas, más vendidos...)"
"Product Images API","API imagen del producto"
"Product Tier Price API","API nivel de precios de productos"
"Product API","API producto"
"Product types API","API tipos de producto"
"Apply To","Aplicar a"
"Apply To Configurable/Grouped Product","Aplicar a productos configurables/agrupados"
"Approved","Aprobado"
"Image file not found","Archivo de imagen no encontrado"
"Text Area","Area de texto"
"Top/Right","Arriba/Derecha"
"Top/Left","Arriba/Izquierda"
"Items %s to %s of %s total","Artículos %s a %s de %s totales"
"Assigned Products","Asignación de Productos"
"Assign","Asignar"
"Assign product to category","Asignar a la categoría de productos"
"Assign product link","Asignar producto vínculo"
"Cart Item Attribute","Atributo del artículo del carrito"
"Product Attribute","Atributo del producto"
"Unknown attribute: %s","Atributo desconocido: %s"
"Attributes","Atributos"
"Product Attributes","Atributos del producto"
"Unassigned Attributes","Atributos sin asignar"
"Autogenerate","Autogenerar"
"Are you sure you would like to remove all products from your comparison?","¿Esta seguro de eliminar todos los productos de su comparación?"
